prompt,completion
沙河高尔夫球会,"27洞球场的深圳沙河高尔夫球会坐落于风景秀丽的深圳湾畔，占地面积达150万平方米，由战绩彪炳的高坛巨将加利•皮亚(Gray Player)倾情打造，球场于2004年在AB场增设了18洞升降式灯光系统，为球员提供夜场服务。球场果岭面积大而起伏变化万千，珍稀的红树林、翱翔的白鹭让球员挥杆之余，能充分领略大自然的神韵。
球会配套：12,000平方米的会所，为会员及嘉宾提供多姿多彩的商务休闲活动；160个自动打位的沙河高尔夫练习场，是目前国内最大的现代化练习场；全球最大的Gary Player高尔夫训练学校，为各程度的球迷提供直接教授乃至专用的模拟场地练习洞。
球会荣誉：多次被国际国内高尔夫主流媒体评选为中国十大高尔夫球场之一；连续七年荣获“最佳果岭球会”的称号；被《中国高尔夫》杂志誉为""九七中国最佳果岭草坪球场""。"
大沙河公园,"大沙河公园是综合市政公园，被深圳市城市管理局评为“四星级公园”。公园位于南山区中部，北邻广（州）深（圳）高速公路、北起塘朗山，南接北环大道、西连大沙河东岸、东至南山区欧洲城，占地面积31.2公顷。公园内种植有乔、灌木100多种，共10000多株，草地39万平方米。入园无须门票，免费供市民、游客游玩。
公园以“生活、生命、生态”为主题，环保节能为特色，主要景点有三生广场、放飞广场、三生亭、风铃径等，同时拥有停车场(140个车位)，篮球场，网球场，健身场，儿童戏沙池。园中的植物树种有小叶榕、扶桑、四季桂花、樟树、榕树、腊肠树、山茶等；还有一些珍贵树种如原产中美洲的日日樱、琴叶珊瑚，马来西亚群岛的糖胶树、菩提树，东南亚的小叶榄仁树等等。公园内有许多观赏性植物包括：大红花、夹竹桃、鸡蛋花、凤凰木、青皮竹、龙船花、毛杜鹃、美人蕉等等。"
大沙河生态廊道（规划中）,"大沙河是南山区惟一的一条河流，也是南山的“母亲河”，起始于长岭皮水库，穿越城区汇入深圳湾，全长13.5公里，流域面积90.69平方公里。
规划创造亲近自然的城市滨水空间，同时成为大沙河创新走廊的“一条文化中心线”，有关部门正对大沙河全程疏浚、修闸，并在东岸沿河建造“大沙河文化长廊”，使之成为深圳的城市名片，成为联结塘朗山郊野公园生态系统与深圳湾生态系统的生态廊道。"
塘朗山公园,"公园简介：塘朗山郊野公园位于深圳市南山区东北部，龙珠大道以北，留仙大道以南，西起红花岭，东止于福田区与南山区交界，总面积约10平方公里，是坐落于城市中的郊野公园。塘朗山地貌为丘陵地，山脉以东西走向为主，主要山脉为红花岭-塘朗峰-望天螺山脉-虎山顶-茶山-交椅山山脉，主峰塘朗峰海拔高432米。
景观资源：塘朗山郊野公园有较为丰富的林木景观资源和自然景观，森林覆盖率约87%，森林植被以阔叶林为主。
塘朗山郊野公园以山、水、林、泉和山林植物所形成优美的自然景观为骨架，入谷寻幽、湖畔垂钓、聆听鸟语、沐浴森林、重阳登高等各有特色的景点，让人在闲情逸趣中，了解自然，享受自然。"
华侨城旅游度假区,"深圳华侨城旅游度假区坐落在南海之滨、深圳湾畔，占地约6方公里，长年繁花似锦、绿树成荫，汇聚了中国最为集中的文化主题公园群、文化主题酒店群和文化艺术设施群，是中国首批5A级旅游景区、首批全国文明风景旅游区、国家级文化产业示范园区，是""精彩深圳、欢乐之都""流光溢彩的一张城市名片。
以锦绣中华、中国民俗文化村、世界之窗、欢乐谷四大主题公园为核心，深圳华侨城旅游度假区形成了中国最具规模和实力的主题公园群，年均接待游客800万人次。
锦绣中华，是中国五千年历史文化、九百六十万平方公里锦绣河山的荟萃和缩影，以""一步迈进历史，一日游遍中国""的恢弘气势被誉为""开中国人造景观之先河""的杰作。
中国民俗文化村，是中国第一个集各民族民间艺术、民俗风情和民居建筑于一园的大型文化旅游景区，以""二十五个村寨，五十六族风情""的丰厚意蕴赢得了""中国民俗博物馆""的美誉。
深圳世界之窗，以弘扬世界文化精华为主题，囊括了世界园林艺术、民俗风情、民间歌舞、大型演出以及高科技娱乐项目。
深圳欢乐谷，以创造、传递和分享欢乐为理念，引领中国现代主题公园的发展方向，成为华侨城欢乐谷全国连锁经营的基地和样板。
欢乐海岸，以海洋文化为主题，以生态环保为理念，以创新型商业为主体，都市滨海健康生活去处。"
深圳湾公园,"深圳湾公园位于深圳市西南部沿海，东起福田红树林鸟类自然保护区，西至深港跨海大桥西侧，北靠滨海大道，南临深圳湾，隔海遥望香港米埔自然保护区。沿海岸线长约11公里，总面积约128.74公顷，是深圳市唯一的密集滨海休闲带。深圳湾公园由已开放的红树林海滨生态公园和建设中的深圳湾滨海休闲带两部分组成。
滨海休闲带:规划有12个不同主题公园，为A、B、C三个区域 ，A区从红树林海滨生态公园西侧至大沙河河口，面积41．62公顷，建有中湾阅海广场、海韵公园、白鹭坡、北湾鹭港和小沙山。B区从大沙河河口至东滨路立交桥北侧，面积10．75公顷，建有追风轮滑公园和流花山。C区从东滨路立交桥北侧至深港西部通道大桥西侧，面积55．70公顷，建有南山内湖溢流坝、弯月山、南山排洪大箱涵蝶状翼墙、日出露天剧场、垂钓栈桥、湿地公园、婚庆公园、海风运动公园和西南口岸广场。
红树林海滨生态公园:面积约20．67公顷。园内栽培植物有240多种，其中不乏特有的红树类植物，园区绿地面积占总面积90%以上，绿草如茵，椰树林立，花草争艳，形成了以当地乡土树种为主体的南亚热带植被风光。"
深圳湾体育中心(春茧),华润深圳湾体育中心位于南山后海中心区东北角、深圳湾15公里滨海休闲带中段，毗邻香港，北临滨海大道，西临科苑南路，东临沙河西路，南临深圳湾内湖，东西长约720米，南北宽约430米，占地30万平米，总建筑面积33.5万平米，是第26届世界大学生夏季运动会的主要分会场，投资约23亿元，包括体育场、体育馆、游泳馆、运动员接待中心、全民健身设施及商业配套设施，同时也是深圳演唱会的主要承办地点。
深南大道,"深南大道被称为深圳的一张名片，通常所称的“深南路”包括“深南大道”、“深南中路”和“深南东路”三部分，分别对应南头检查站至皇岗路段（长约19.5公里）、皇岗路至红岭路段（长约4.5公里）、红岭路至沿河路段（长约3.8公里），全长约25.6公里，沿线与约48条南北方向的市政道路交汇，是深圳市的坐标轴，就像长安街之于北京、东方明珠之于上海。
深南路名字的由来：“因为深圳特区东起大鹏湾背仔角，西至南头一甲村，这条路也计划从原来的深圳镇一直往南头修，就叫了深南路，并且一路叫下来。”-原深圳市规划国土局总规划师郁万钧。
沿途商圈（自西向东）
1) 华侨城商圈：益田假日广场、京基百纳、锦绣中华、世界之窗、华侨城、欢乐谷等。
2) 车公庙商圈：新兴商圈。
3) 香蜜湖商圈：以餐饮为主：香蜜湖旅游度假村。
4) 福田中心区商圈：福田CBD, 包括COCO PARK、购物公园、深圳中心城等；"
北环大道,"北环大道西至南头检查站并连接广深高速公路，东接深圳罗湖区的泥岗路，全长约18公里。北环大道由西向东依此横跨深圳市的多条城市道路和高速公路，分别是：南光高速公路、南山大道、南海大道、广深高速公路、南坪快速干线 、龙大高速公路、香蜜湖路、新洲路、梅观高速公路、皇岗路、华强北路。
沿途商圈：华侨城商圈、香蜜湖商圈。"
沙河西路,"沙河西路是南山区南北向最长的路。是南山大道的2倍、南海大道的1.5倍长，长约12公里南至滨海大道，无缝连接深港跨海大桥，北至白芒检查站，贯穿了南山区西丽街道。
交汇道路：北环大道、深南路、白石路、滨海大道。
沿途商圈：后海中心区。"
深圳湾大桥,深港跨海大桥又称深圳湾大桥，2007年7月1日开通。全长5545米，其中深圳侧桥长2040米，香港段3505米，为目前国内最宽、标准最高的公路大桥，连接深圳蛇口与香港元朗。
地铁罗宝线,"罗宝线是深圳地铁运营中的五条路线之一，共开设了30个车站，属于城市轨道交通系统，由罗湖站至机场东站，呈东西走向，连接了深圳市的东门商业区、蔡屋围一带的中央商务区、华强北商业区、深圳市中心区、深圳华侨城的高级住宅区以及深圳的华侨城旅游区。 
途经：罗湖-国贸-老街-大剧院-科学馆-华强路-岗厦-会展中心-购物公园-香蜜湖-车公庙-竹子林-侨城东-华侨城-世界之窗-白石洲-高新园-深大-桃园-大新-鲤鱼门-前海湾-新安-宝安中心-宝体-坪洲-西乡-固戍-后瑞-机场东。"
规划中的地铁15号线,"15号线西乡至前海，15号线连接南山科技园、宝安中心、后海、前海等重要片区，支撑西部发展，覆盖南山科技园南北向交通需求走廊。
深圳地铁15号线，线路全长约27km。身为“环线”，意味着其终点和起点“合为一体”，起终点均为前海。"
公交,"大冲车次：19路; 21路; 42路; 45路; 70路; 79路; 101路; 204路; 209路; 223路; 245路; 323路; 383路; m239路; m391路。
飞亚达大厦车次： 51路; b609路; b683路; b684路; 高峰专线10路; 高峰专线30路。
大冲小学车次：b684路 。                                            "
金融资源,招商银行、中国建设银行、宝生村镇银行、上海银行、中国民生银行、中信银行、交通银行、中国工商银行等。
教育配套,"项目周边包括1所南外旗下54班的新大冲学校、1所南外旗下的九年一贯制学校、3所幼儿园(除润府一期地块内幼儿园外，另两所幼儿园待定)，分布如下：南山外国语学校（集团）大冲学校
位置:南山外国语学校（集团）大冲学校位于华润城旧改项目的西南方。铜鼓路以西，科发路以北，东边为规划路。
开学时间：2015年9月1日
功能：总建筑面积34396.45㎡,地上部分为1-5层 北侧3栋楼和东侧楼为教学区，共54个课室及实验室、美术室、音乐室等。南侧分布羽毛球馆教师办公室、教师宿舍等。小学西侧有100米直跑跑道及250米环形运动场。-1层分布图书馆、风雨礼堂、舞蹈室、餐厅及地下车库。
教育内部配套：南山外国语学校办学以来，在学制、课程、教材、教法上作了大胆的改革和探索，形成了英语、科技、艺术三大教育特色。学校实行国家课程和校本选修课程相结合，长短课相结合。学校部分选用境外的原版英语的科技教育教材，还率先在国内自编了《环境教育》教材。
师资：深圳市南山外国语学校是1995年9月由政府创办的实验型学校。经过近12年的发展，学校已成为一所集幼儿、小学、初中、高中为一体的现代化集团学校、省一级学校、省绿色学校。在497（正编191）名教师中，有高级职称69人，中级职称165人；博士1人，硕士27人，学士296人；特级教师5人，外籍教师5人，海归教师7人。"
休闲配套,万象天地，包括：古庙广场、大冲石广场、宗祠广场、诚品书店（建设中）、人文剧场（建设中）
华润城项目整体规划,项目整体由华润自有物业、回迁物业、公共配套及保障性住房组成。
华润城项目整体经济指标,华润城整体占地面积：约68.5万㎡，计容规划建筑面积：约280万㎡。
华润城自有住宅各期经济指标,"润府一期，占地3.91万㎡。规划计容建筑面积中住宅19.8万㎡，公寓3.2万㎡，合计23万㎡。
润府二期，占地2.72万㎡。规划计容建筑面积中住宅13.21万㎡，公寓4.1万㎡，合计17.72万㎡。
润府三期，占地3.5万㎡。规划计容建筑面积中住宅16.87万㎡，公寓4.06万㎡，合计20.93万㎡。
润府四期，占地2.23万㎡。规划计容建筑面积中住宅14.84万㎡，合计14.84万㎡。
润府五期，占地2.4万㎡。规划计容建筑面积中住宅19.28万㎡，合计19.28万㎡。
整体住宅占地14.76万㎡。规划计容建筑面积中住宅84.25万㎡，公寓11.76万㎡，合计96.01万㎡。"
华润城项目公建区,"公建区总用地面积约9.4万平方米，总计容建筑面积约70万平方米。
主要由复合商业、写字楼、公寓、星级酒店(建设中)和文化艺术设施组成，定位为容纳城市多层面的文化、购物、餐饮、休闲娱乐、办公、居住等活动的区域，是项目中最具活力和吸引力的综合区域。"
公建区商业规划,"万象天地，华润万象天地是城市人文综合体“华润城”的重要商业组成部分，是华润置地三大商业产品线（1、高端商业产品线：万象城； 2、区域商业产品线： 万象汇、五彩城；3、其它产品线：华润1234speace等）之外的首个创新产品。
作为华润置地继万象城后引领商业趋势的大型商业中心，万象天地力求突破传统商业中心封闭式的空间体验，携手全球约35家顶级设计、景观、建筑艺术顾问团队，以人为原点、以步行为尺度，创新采用开放式的街区式空间布局，将街区与mall、独栋与裙楼、广场与中庭等室内外元素结合，呈现出项目多层次的空间感，在趋于同质化的市场背景中，为城市带来全新的消费体验。
华润万象天地拥有约23万平方米“街区+mall”的创新商业空间，包括约300个店铺、约1000个品牌、12座独栋品牌旗舰店，以及超过2000平米的室内儿童乐园和国际美食餐饮街，将汇聚创新、时尚、人文、艺术、社交等丰富体验，力求为深圳打造一处全新的“漫步式城市创作空间”。"
公建区写字楼规划,"总规划计容建筑面积约37.4万㎡。
T1区置地大厦D座；T2区南山金融大厦；T3区公寓；T4区华润置地大厦B座；T5区北京银行大厦；T6区华润置地大厦C座；T7区华润置地大厦A座。"
南山科技金融城规划,"南山科技金融城位于华润城公建区，是南山区政府联手华润置地有限公司发布的项目 ，地处深圳南山高新技术产业园核心区域，依托华润置地产业资源优势及城市运营能力，通过全产业链体系的打造，聚集中大型金融机构，并推动传统金融，共同构筑商务与产业高度融合的创新空间。 
南山科技金融城将重点推进金融行业的落地与创新，为科技注入金融力量。通过培育完善的科技创新生态，以科学技术的进步带动金融业的升级，最终形成产业交融、资源集聚、链式共生的科技金融生态圈。
未来3年，南山科技金融城将吸引高于300家金融及高新技术企业落户，创造2.3万就业，打造成为年产值逾1000亿的科技金融聚集地。"
回迁物业,回迁物业计容面积为110万平方米，分为五个地块，物业类型包括住宅、公寓、商业、办公以及大王古庙、郑氏宗祠两个历史保护建筑。
大涌城市花园（回迁自住A区）,回迁自住A区为超高层住宅，共10栋15座塔楼。项目用地面积约为4.7万平方米，主体建筑高度为65.10米至119.10米，地下二层，地上二十一层至三十九层，总建筑面积约35.1万平方米，计容建筑面积约26.6万平方米。 
大涌都市花园（回迁自住B区）,大涌都市花园由1座3层幼儿园，2座50层超高层住宅塔楼，6座31层的住宅塔楼，及2层商业裙楼组成，地下室3层。项目用地面积约为2.03万平方米，总建筑面积约17.77万平方米，计容建筑面积13.61万平方米。 
大涌商务中心,大涌商务中心为超高层办公楼，共6栋塔楼。项目用地面积约为2.84万平方米，主体建筑高度为95.45米至199.9米，地下3层，地上23层至48层，总建筑面积约44.55万平方米，计容建筑面积37.21万平方米。
大涌新城花园（回迁出租区）,大涌新城花园分一期、二期。一期为一栋50层住宅塔楼，含回迁住宅和保障房，二期由11座塔楼（32~44层）、两层裙房组成，还有三层地下室。项目用地面积约为5.00万平方米，总建筑面积约48.76万平方米，计容建筑面积约35.26万平方米。
万象府整体规划,规定建筑面积约4万㎡；总户数215户；车位数待定；车位比待定。
万象府项目建筑面积规划,"总建筑面积分类：公寓物业管理用房，架空层，人防报警室。
核增建筑面积分类：避难层；公共通道。
不计容建筑面积分类：地下车库及设备用房；地下室井道出地面。"
万象府整体户型分布,"西塔楼40层高。顶层区净高3.6m，3梯1户，位于39至40层，户型为大平层，户内建筑面积约450㎡，共两套，占比为0.93%。其他区净高3.4m，3梯5户，位于7至22层，24至28层，户型有单房，2房和3房，单房面积约90㎡，共93套，占比为43.26%；2房面积约170㎡，共31套，占比为14.42%；3房面积约200㎡，共31套，占比为14.42%。
东塔楼32层高。顶层区净高3.6m，2梯1户，位于31至32层，户型为大平层，面积约为580㎡，共两套占比为0.93%。高层区净高3.5m，2梯2户，位于18至30层，分为4房面积约400㎡，3+1房面积约370㎡，都各有13套，占比6.05%。低层区净高3.5m，2梯3户，位于7至16层，户型为2+1房，面积有200㎡、260㎡、320㎡这3种，都各有10套，占比为4.65%。"
万象府的建筑景观情况,所有户型朝向通风良好，视线通透不干扰。东面-大沙河景观、高尔夫景观（部分可能被A座遮挡），北面-大冲城市花园自身景观、部分高尔夫景观，西面-万象天地商业景观、南面-万象天地商业景观、部分海景、高尔夫景观。
万象府用地性质与产权时间,万象府的用地性质是商业用地，拥有40年产权，从2014-12-29至2054-12-28，开工日期2014-4-28，入伙日期待定。
万象府出入口,"数量：6（一个为货运）
位置：万象天地商业车库入口（科发路）
万象天地车库出口近万象府西塔（科发路）
万象天地车库入口近万象府东塔（科发路）-是否双向待定
万象天地商业西侧车库出口（深南大道）
万象天地商业南侧车库入口（深南大道）
万象天地商业车库东侧货车出入口（深南大道）"
万象府的整体设计理念,"单体设计遵循总体规划“缎带”理念，连续、线性的建筑线条勾勒出极具时代感的建筑形态，使得公寓融入整个强有力的塔楼建筑群落。
东塔：人类的生存离不开建筑，建筑的发展必须尊重自然，华润万象府东塔在设计之初即充分考虑居所-人、自然、都市三者间的链接，如何从快速的生活节奏瞬间切换到私密的居住空间，营造归家的仪式感，并让每个角落与细节都体现出空间的层次，是设计师思考的重点，整体充分融合项目自有的商业文化、绿色景观资源，通过建筑诠释自然，打造大隐于市的以“生活、生态、社交”为一体化的国际居所。
西塔：设计理念“演绎自然“、”水的灵动”、“光的凝结”，真正的平静，不是避开车马喧嚣，而是在心中有自然。天空、海洋和水是人们把握大自然的一种形式，以此为理念演绎空间就像一份对自然的理解与体验。"
空间设计亮点,在房间设计上，是满足现代都市精英的“大尺度少房型”，平面布局“雅奢”为户型设计的原则，展现一种新的生活方式。
户型布局,"朝向优越：充分享受景观资源；
采光通风：良好，同时兼顾私密性，实现通透不干扰。"
万象府设计理念及亮点,"东塔：
1) 设计理念：设计结合自然共生的理念，通过解读天然雅致的石材、优雅的家具细节、细腻的色调搭配，用心的细节处理，打造都会户型和顶观户型，同时不在拘泥于智能冷空间，更注重于通过人性化细节服务，给客户全方位五星级的居家体验。
2) 户型特点：纯粹、大尺度
3) 设计特点：分为低区和高区，低区侧重于满足年轻化客群需求，整体精简设计，高级灰风格打造，高区更加阔奢，在户型设计上更多地体现社交功能，满足业主高端自住、社交、公务等全功能全时态生活需求。
4) 材质特征：灰色肌理为主，展示居住者的沉稳内敛，于细节处体现品味，满足实用性的需求，设置阔绰起居空间，方正且独立的衣帽间，满足客户对尊贵性、舒适性、私密性的需求。
西塔：
1) 设计理念：设计师认为：凡是物体，都有生命，就像是我们所选用的石材，本身就是一件很好的艺术品，既是自然的，又能很好的表现层次感，石材有灵气、有主题、有韵律，是人与自然和谐的乐章，能令人有所寄托，也能与空间与人“对话”。
2) 户型特点：大尺度，少房型
3) 设计特点：整体设计展现为一种新的生活方式，灵动的美学空间，体现居住者不受限的生活态度。
4) 材质特征：灰色中带着白色，两者交替相辅相成，其随意搭配的极简设计透露着欧式的优雅，简约却不空旷，任何奢华的东西是以优雅为度的，展现当代内敛奢华的气度，衬托出业主人文及艺术的价值。"
